week,ebike_return_error,lost_demand,out_of_battery_trips,lost_demand_causedby_battery,three_error,ebike_trips
1,3273,71474,9,2,1,384439
2,3472,75118,20,3,2,380852
3,3350,76133,9,4,1,377617
4,3310,75776,26,5,2,379327
5,3179,76757,16,6,0,379080
6,2847,78202,8,7,1,377526
7,2961,79517,3,8,0,376136
8,3029,79389,5,9,1,375648
9,3117,80452,13,10,0,375146
10,3054,80275,12,11,0,374731
11,2765,80892,6,12,1,374134
12,3269,80093,24,13,1,375063
13,2851,82515,10,14,0,372705
14,3122,81519,7,15,1,374481
15,2930,81506,28,16,0,373592
16,2856,81763,23,17,1,374311
17,2894,81130,10,18,0,375168
18,2977,79680,9,19,2,375899
19,3083,79646,13,20,0,375632
20,2918,81195,11,21,2,374115
21,3048,80456,12,22,0,374955
22,2956,80753,10,23,0,373647
23,2944,80724,11,24,0,374006
24,2799,80940,9,25,0,374476
25,2768,82506,24,26,1,372681
26,2979,80343,13,27,0,374238
27,2843,82951,9,28,0,373080
28,3010,80385,30,29,2,373853
29,2839,81192,20,30,0,374967
30,3142,80301,25,31,1,375061
31,2786,81403,11,32,1,374941
32,2900,81788,15,33,1,374123
33,2780,83468,9,34,0,372370
34,2986,81744,18,35,0,372951
35,2913,81247,22,36,0,373588
36,2978,82124,36,37,0,372538
37,2890,80065,16,38,1,375141
38,2707,81210,12,39,1,374715
39,2675,83115,29,40,0,372557
40,2734,82508,24,41,1,372617
41,3026,81343,9,42,0,373053
42,2962,82528,12,43,0,372293
43,2893,82041,39,44,1,373126
44,2763,84447,27,45,0,371320
45,2556,84192,12,46,0,370301
46,2893,81183,28,47,0,374136
47,2836,81225,16,48,0,374564
48,2717,82389,16,49,0,371612
49,2834,83712,15,50,0,370429
50,2671,84999,20,51,1,370332
